4CP	6CP	8EP	10EP	9EP	9EP	12EP	12EP	8EP	10EP	14EP	14EP	10EP	10EP	15EP	18EP	12EP	15EP	18EP	20EP
4CP	6CP	8DP	10EP	9DP	9DP	12EP	12EP	8EP	10EP	14EP	14EP	10EP	10EP	15EP	18EP	12EP	15EP	18EP	20EP
4BP	6CP	8DP	10EP	9DP	9DP	12DP	12EP	8EP	10EP	14EP	14EP	10EP	10EP	15EP	18EP	12EP	15EP	18EP	20EP
4BP	6BP	8CP	10DP	9CP	9DP	12DP	12EP	8DP	10EP	14EP	14EP	10EP	10EP	15EP	18EP	12EP	15EP	18EP	20EP
4BP	6BP	8CP	10DP	9CP	9CP	12DP	12DP	8DP	10EP	14EP	14EP	10EP	10EP	15EP	18EP	12EP	15EP	18EP	20EP
4AP	6BP	8CP	10DP	9CP	9CP	12DP	12DP	8DP	10DP	14DP	14EP	10EP	10EP	15EP	17EP	12EP	15EP	18EP	19EP
4AP	6BP	8CP	10DP	9CP	9CP	12CP	12DP	8DP	10DP	14DP	13EP	10EP	10EP	15EP	17EP	12EP	14EP	18EP	19EP
4AP	6AP	8CP	10CP	9CP	9CP	12CP	12DP	8CP	10DP	13DP	13EP	10DP	10EP	14EP	17EP	11EP	14EP	17EP	19EP
4AP	6AP	8BP	10CP	9BP	9CP	11CP	11DP	8CP	10DP	13DP	13DP	10DP	10EP	14EP	17EP	11EP	14EP	17EP	19EP
4AP	6AP	8BP	9CP	9BP	9CP	11CP	11DP	8CP	9DP	13DP	13DP	10DP	10DP	14EP	17EP	11EP	14EP	17EP	19EP
4AK	6AP	8BP	9CP	9BP	9BP	11CP	11CP	8CP	9CP	13DP	13DP	10DP	10DP	14DP	16EP	11DP	14DP	17EP	18EP
4	6AP	8BP	9CP	9BP	8BP	11CP	11CP	8CP	9CP	13DP	13DP	10DP	10DP	14DP	16EP	11DP	14EP	17EP	18EP
4	6AP	7BP	9CP	8BP	8BP	11CP	11CP	8CP	9CP	13CP	12DP	9DP	9DP	14DP	16DP	11DP	13DP	17EP	18EP
4	6AP	7BP	9CP	8BP	8BP	11CP	11CP	7CP	9CP	12CP	12DP	9DP	9DP	14DP	16DP	10DP	13DP	16EP	18EP
4	6AP	7BP	9BP	8AP	8BP	11CP	11CP	7CP	9CP	12CP	12DP	9CP	9DP	13DP	16DP	10DP	13DP	16EP	17EP
4	6AK	7AP	9BP	8AP	8BP	10BP	10CP	7CP	9CP	12CP	12DP	9CP	9DP	13DP	15DP	10DP	13DP	16EP	17EP
4	6	7AP	9BP	8AP	8BP	10BP	10CP	7CP	9CP	12CP	12DP	9CP	9DP	13DP	15DP	10DP	13DP	16EP	17EP
4	6	7AP	9BP	8AP	8BP	10BP	10CP	7BP	8CP	12CP	12CP	9CP	9DP	13DP	15DP	10DP	13DP	16EP	17DP
4	5	7AP	8BP	8AP	8AP	10BP	10CP	7BP	8CP	12CP	11CP	9CP	9DP	13DP	15DP	10CP	12DP	16EP	17DP
4	5	7AP	8BP	8AP	8AP	10BP	10CP	7BP	8CP	11CP	11CP	9CP	9DP	13DP	15DP	10CS	12DP	15EP	16DP
4	5	7AP	8BP	8AP	8AP	10BP	10BP	7BP	8CP	11CP	11CP	9CP	9CP	12DP	14DP	9CP	12DP	15DP	16DP
4	5	7AP	8BP	8AS	8AP	10BP	10BP	7BP	8BP	11CP	11CP	9CP	9CP	12CP	14DP	9CS	12DP	15DP	16DP
4	5	7AP	8AP	8AP	7AP	10BP	9BP	7BP	8BP	11CP	11CP	9CP	9CP	12CP	14DP	9CP	12CS	15DP	16DP
