20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
7	8	9	10AK	11AK	11AG	13AK	13BK	12BK	12BK	15CK	15CK	8CK	8CK	12DK	14DK	9CK	11DK	15DK	15DK
7	8	9	10AG	11AG	11AK	13AG	12BG	11BG	12BG	15CG	14CG	8CG	8CG	12DG	13DG	9CG	11DG	14DG	15DG
6	8	9	10AK	11AK	11AG	13AK	12BK	11BK	12BK	15CK	14CK	8CK	8CK	11CK	13DK	8CK	11DK	14DK	15DK
6	7	9	10AG	11	11AK	12AG	12BG	11BG	11BG	14CG	14CG	8CG	8CG	11CG	13DG	8CG	11DG	14DG	15DG
6	7	8	10AK	11	11AG	12AK	12BK	11BK	11BK	14BK	14CK	8CK	8CK	11CK	13DK	8CK	11CK	14DK	15DK
6	7	8	10AG	11	10AK	12AG	12BG	11BG	11BG	14BG	13CG	8CG	8CG	11CG	13DG	8CG	11CG	14DG	14DG
6	7	8	9AK	10	10AK	12AK	11BK	10BK	11BK	14BK	13CK	8CK	8CK	11CK	13DK	8CK	11CK	14DK	14DK
6	7	8	9	10	10AK	12AG	11BG	10AG	11BG	13BG	13CG	8BG	8CG	11CG	12DG	8CG	10CG	14DG	14DG
6	7	8	9	10	10	11AK	11BK	10AK	10BK	13BK	12CK	8BK	8CK	11CK	12CK	8CK	10CK	14DK	14DK
6	7	8	9	10	10	11AG	11AG	10AG	10BG	13BG	12CG	8BG	8CG	11CG	12CG	8CG	10CG	13DG	14DG
6	7	8	9	10	10	11AK	11AK	10AK	10BK	13BK	12CK	8BK	8CK	10CK	12CK	7BK	10CK	13DK	14DK
6	7	8	9	10	9	11AG	10AG	10AG	10AG	12BG	12CG	8BG	7CG	10CG	12CG	7BG	10CG	13DG	13DG
6	7	8	9	10	9	11AK	10AK	9AK	9AK	12BK	11BK	8BK	7CK	10CK	12CK	7BK	10CK	13DK	13DK
6	7	8	8	9	9	10	10AG	9AG	9AG	12BG	11BG	7BG	7CG	10CG	11CG	7BG	10BG	13DG	13CG
6	7	7	8	9	9	10	10AK	9AK	9AK	11BK	11BK	7BK	7CK	10CK	11CK	7AK	9BK	13DK	13CK
6	7	7	8	9	9	10	10AG	9AG	9AG	11BG	10BG	7BG	7BG	10CG	11CG	7AG	9BG	13DG	13CG
6	6	7	8	9	9	10	9AK	9AK	9AK	11AK	10BK	7BK	7BK	10BK	11CK	7AK	9BK	12CK	12CK
5	6	7	8	9	9	10	9AG	9AG	8AG	11AG	10BG	7BG	7BG	9BG	11CG	6AG	9BG	12CG	12CG
5	6	7	8	9	8	9	9AK	8	8AK	10AK	10BK	7AK	7BK	9BK	10CK	6	9AK	12CK	12CK
5	6	7	7	9	8	9	9AG	8	8AG	10AG	9BG	7AG	7BG	9BG	10BG	6	9AG	12CG	12CG
5	6	7	7	9	8	9	9AK	8	8AK	10AK	9BK	7AK	7BK	9BK	10BK	6	9AK	12CK	12CK
5	6	7	7	8	8	9	8AG	8	7AG	10AG	9BG	7AG	7BG	9BG	10BG	6	8AG	12CG	12BG
5	6	6	7	8	8	9	8AK	8	7AK	9AK	8BK	7AK	7BK	9BK	10BK	6	8AK	12CK	11BK
5	6	6	7	8	8	9	8	7	7	9AG	8BG	7AG	6BG	9BG	10BG	6	8	11CG	11BG
5	6	6	7	8	7	8	8	7	7	9AK	8BK	7AK	6BK	9BK	9BK	6	8	11CK	11BK
5	8	6	7	8	7	8	8	7	6	9AG	8BG	7AG	6AG	8BG	9BG	5	8	11CG	11AG
5	6	6	6	8	7	8	7	7	6	8AK	7AK	6AK	6AK	8BK	9BK	5	8	11CK	11AK
5	5	6	6	7	7	8	7	7	6	8AG	7AG	6AG	6AG	8BG	9BG	5	8	11BG	10AG
5	5	6	6	7	7	8	7	7	6	8	7AK	6	6AK	8AK	9BK	5	7	11BK	10
5	5	6	6	7	7	7	7	6	6	8	7AG	6	6AG	8AG	9BG	5	7	11BG	10
5	5	5	6	7	7	7	6	6	5	7	6AK	6	6AK	8AK	8BK	5	7	10BK	10
5	5	5	6	7	6	7	6	6	5	7	6AG	6	6AG	8AG	8AG	5	7	10BG	10
4	5	5	6	7	6	7	6	6	5	7	6AK	6	6AK	7AK	8AK	4	7	10BK	10
4	5	5	5	7	6	7	6	6	5	6	5AG	6	6	7AG	8AG	4	7	10AG	9
4	5	5	5	6	6	6	6	6	4	6	5AK	6	6	7AK	8AK	4	7	10AK	9
4	5	5	5	6	6	6	5	5	4	6	5AG	6	6	7AG	8AG	4	6	10AG	9
4	5	5	5	6	6	6	5	5	4	6	5AK	6	5	7AK	7AK	4	6	10AK	9
4	5	5	5	6	5	6	5	5	4	5	4AG	6	5	7AG	7AG	4	6	10AG	9
4	4	4	5	6	5	6	5	5	4	5	4	6	5	7	7AK	4	6	9	8
4	4	4	5	6	5	5	5	5	3	5	4	5	5	7	7AG	4	6	9	8
4	4	4	4	5	5	5	4	4	3	5	3	5	5	6	7AK	3	6	9	8
4	4	4	4	5	5	5	4	4	3	4	3	5	5	6	6AG	3	6	9	8
4	4	4	4	5	5	5	4	4	3	4	3	5	5	6	6AK	3	5	9	8
4	4	4	4	5	5	5	4	4	2	4	3	5	5	6	6	3	5	9	8
4	4	4	4	5	4	4	4	4	2	4	2	5	5	6	6	3	5	9	7
4	4	4	4	5	4	4	3	4	2	3	2	5	5	6	6	3	5	8	7
4	4	4	3	5	4	4	3	3	2	3	2	5	5	6	6	3	5	8	7
3	4	3	3	4	4	4	3	3	0	3	0	5	5	5	5	2	5	8	7
3	4	3	3	4	4	4	3	3	0	3	0	5	5	5	5	2	5	8	7
3	3	3	3	4	4	3	3	3	0	2	0	5	4	5	5	2	0	8	0
3	3	3	3	4	3	3	2	3	0	2	0	5	4	5	5	2	0	8	0
3	3	3	3	4	3	3	2	3	0	2	0	5	4	5	5	2	0	8	0
3	3	3	3	4	3	3	2	2	0	0	0	5	4	5	5	2	0	7	0
3	3	3	2	4	3	3	2	2	0	0	0	4	4	5	4	2	0	7	0
3	3	2	2	3	3	2	1	2	0	0	0	4	4	4	4	0	0	7	0
3	2	2	2	3	2	1	0	0	0	0	0	4	4	4	3	0	0	0	0
2	2	2	1	2	2	1	0	0	0	0	0	4	3	3	3	0	0	0	0
2	2	1	1	2	1	0	0	0	0	0	0	4	3	3	0	0	0	0	0
2	2	1	0	2	1	0	0	0	0	0	0	3	3	3	0	0	0	0	0
2	2	1	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
2	1	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
